-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2025 in LST
Location: latitude  22.47   longitude 70.06 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 28.47 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.01,25.08,14.12,54.43,5.08
2015,1,2,0.0,25.31,16.4,65.13,3.89
2015,1,3,0.0,26.64,15.4,61.04,2.58
2015,1,4,0.0,27.42,15.64,54.17,2.96
2015,1,5,0.0,28.07,15.09,47.95,2.96
2015,1,6,0.0,28.21,16.23,48.26,2.15
2015,1,7,0.0,26.77,16.35,75.57,2.41
2015,1,8,0.0,28.93,16.79,59.58,2.04
2015,1,9,0.0,28.82,16.06,39.94,2.0
2015,1,10,0.0,28.9,15.64,41.08,2.31
2015,1,11,0.0,28.85,15.04,43.29,2.27
2015,1,12,0.0,28.53,15.43,60.3,2.72
2015,1,13,0.0,27.24,16.45,77.67,2.8
2015,1,14,0.0,28.05,18.82,65.64,2.32
2015,1,15,0.0,26.57,15.49,40.31,4.85
2015,1,16,0.0,26.16,13.24,43.85,4.52
2015,1,17,0.0,26.9,12.19,42.38,3.62
2015,1,18,0.0,27.13,12.76,38.41,3.02
2015,1,19,0.0,27.76,13.03,33.77,2.51
2015,1,20,0.05,27.19,14.74,48.93,2.39
2015,1,21,3.01,24.55,19.06,76.75,1.94
2015,1,22,0.01,24.72,17.26,65.28,2.92
2015,1,23,0.0,25.16,15.1,58.72,3.24
2015,1,24,0.0,24.87,14.28,49.53,4.22
2015,1,25,0.0,24.97,13.89,44.88,3.69
2015,1,26,0.0,24.36,12.89,43.7,3.79
2015,1,27,0.0,24.13,11.85,43.08,3.67
2015,1,28,0.0,24.19,11.54,42.44,4.49
2015,1,29,0.0,25.64,11.21,39.49,3.79
2015,1,30,0.0,27.76,12.54,38.56,3.63
2015,1,31,0.0,29.44,13.27,38.24,2.5
2015,2,1,0.0,26.38,15.07,72.31,2.63
2015,2,2,0.0,27.83,18.05,74.77,2.13
2015,2,3,0.0,29.61,15.93,55.2,2.72
2015,2,4,0.0,29.28,16.24,40.47,3.99
2015,2,5,0.0,29.11,15.21,36.45,3.49
2015,2,6,0.0,28.86,15.48,36.76,2.64
2015,2,7,0.0,28.03,15.66,53.41,2.72
2015,2,8,0.0,27.25,15.27,57.95,3.19
2015,2,9,0.0,27.66,15.15,44.81,3.64
2015,2,10,0.0,28.98,15.54,47.07,4.14
2015,2,11,0.0,28.66,16.57,41.13,3.47
2015,2,12,0.0,30.01,15.31,37.93,2.4
2015,2,13,0.0,30.7,16.65,59.97,2.57
2015,2,14,0.0,29.58,17.8,72.13,2.77
2015,2,15,0.0,30.07,18.46,73.36,2.78
2015,2,16,0.0,31.15,18.18,72.28,3.37
2015,2,17,0.0,30.85,18.88,71.99,3.36
2015,2,18,0.0,31.09,19.25,69.56,3.35
2015,2,19,0.0,30.06,19.35,73.52,3.2
2015,2,20,0.0,31.66,19.44,67.61,2.51
2015,2,21,0.0,33.9,19.15,56.0,2.5
2015,2,22,0.0,36.46,20.78,36.46,1.95
2015,2,23,0.0,34.6,21.5,53.0,2.37
2015,2,24,0.0,29.9,20.59,73.73,4.1
2015,2,25,0.0,27.85,19.18,53.07,4.83
2015,2,26,0.0,27.82,17.74,44.62,4.0
2015,2,27,0.0,28.42,16.4,44.43,2.74
2015,2,28,1.74,29.9,16.83,49.7,2.86
2015,3,1,7.82,26.27,18.08,55.81,3.15
2015,3,2,0.01,25.52,15.93,56.37,3.49
2015,3,3,0.0,26.14,17.64,59.97,3.15
2015,3,4,0.0,27.53,17.84,57.73,2.74
2015,3,5,0.0,28.9,18.52,60.55,2.41
2015,3,6,0.0,30.81,18.59,65.18,2.37
2015,3,7,0.0,29.21,19.04,72.06,3.29
2015,3,8,0.0,29.31,19.1,56.23,2.5
2015,3,9,0.0,30.59,16.13,33.4,4.27
2015,3,10,0.0,30.77,16.53,29.57,5.37
2015,3,11,0.0,32.91,17.47,32.99,3.16
2015,3,12,0.16,33.81,18.35,35.49,2.67
2015,3,13,0.59,31.88,20.44,55.07,2.37
2015,3,14,0.19,29.48,21.52,65.87,3.27
2015,3,15,0.03,28.24,20.37,62.73,4.01
2015,3,16,0.0,28.67,18.8,56.26,2.58
2015,3,17,0.0,31.06,19.25,51.06,2.94
2015,3,18,0.0,32.17,19.26,40.89,2.47
2015,3,19,0.0,33.7,19.95,44.92,2.49
2015,3,20,0.0,35.73,21.05,49.95,2.79
2015,3,21,0.0,36.26,22.7,48.87,2.77
2015,3,22,0.0,37.69,24.24,39.97,2.84
2015,3,23,0.0,37.27,24.21,44.89,3.27
2015,3,24,0.0,36.23,22.46,56.8,3.72
2015,3,25,0.0,38.23,21.49,53.44,2.63
2015,3,26,0.0,38.33,24.13,43.64,2.4
2015,3,27,0.0,35.52,25.1,57.97,2.83
2015,3,28,0.0,36.24,23.51,60.64,3.65
2015,3,29,0.0,34.55,25.07,59.86,4.36
2015,3,30,0.0,32.97,22.5,63.35,3.83
2015,3,31,0.0,33.25,21.77,58.99,3.88
2015,4,1,0.0,33.47,22.09,66.99,4.38
2015,4,2,0.0,32.42,23.1,69.34,5.42
2015,4,3,0.0,32.56,23.47,67.58,5.91
2015,4,4,0.0,31.46,24.9,69.91,5.51
2015,4,5,0.0,32.3,23.26,64.43,4.07
2015,4,6,0.0,34.79,21.36,61.51,2.54
2015,4,7,0.0,35.09,22.67,60.86,2.47
2015,4,8,0.0,36.04,23.46,57.71,2.71
2015,4,9,0.0,38.4,24.82,43.93,2.53
2015,4,10,0.0,36.06,24.22,59.75,3.44
2015,4,11,0.0,33.19,24.0,66.78,4.61
2015,4,12,0.02,34.42,23.16,67.75,3.36
2015,4,13,0.43,35.48,23.82,60.12,2.37
2015,4,14,0.14,36.35,25.3,49.21,2.66
2015,4,15,0.0,37.14,26.25,42.62,1.92
2015,4,16,0.0,39.02,25.85,46.37,2.37
2015,4,17,0.0,37.75,25.72,56.98,3.39
2015,4,18,0.0,36.47,25.41,61.22,4.82
2015,4,19,0.0,36.95,24.95,64.0,4.62
2015,4,20,0.0,38.13,24.82,56.5,4.05
2015,4,21,0.0,38.42,25.6,44.89,4.21
2015,4,22,0.0,37.6,25.82,48.65,4.34
2015,4,23,0.0,35.41,25.13,61.03,5.27
2015,4,24,0.0,35.37,24.57,63.01,4.77
2015,4,25,0.0,36.28,24.61,65.13,4.27
2015,4,26,0.0,37.47,25.06,62.53,4.6
2015,4,27,0.0,37.73,25.22,64.01,5.13
2015,4,28,0.0,35.19,25.52,66.56,5.92
2015,4,29,0.0,35.68,25.16,69.76,5.03
2015,4,30,0.0,35.44,25.2,70.87,5.61
2015,5,1,0.0,36.67,25.2,66.75,4.67
2015,5,2,0.0,38.41,25.08,59.41,3.82
2015,5,3,0.0,38.25,24.76,59.82,3.81
2015,5,4,0.0,37.81,25.02,60.34,4.29
2015,5,5,0.0,37.54,25.06,59.53,4.01
2015,5,6,0.0,36.03,25.07,63.29,4.56
2015,5,7,0.0,35.98,26.03,63.56,5.08
2015,5,8,0.0,36.24,26.89,62.73,5.29
2015,5,9,0.0,36.76,26.48,62.33,4.8
2015,5,10,0.0,35.88,26.34,66.94,5.08
2015,5,11,0.42,35.06,26.93,68.83,4.92
2015,5,12,2.57,35.2,27.55,67.92,3.65
2015,5,13,0.0,37.23,27.02,62.12,4.02
2015,5,14,0.02,37.37,26.49,61.79,3.43
2015,5,15,0.0,37.79,26.53,60.22,4.4
2015,5,16,0.0,38.55,26.84,59.25,4.82
2015,5,17,0.0,38.08,26.77,59.4,5.13
2015,5,18,0.0,37.0,27.09,63.86,5.59
2015,5,19,0.0,35.81,27.26,68.3,6.09
2015,5,20,0.0,35.61,27.71,68.41,5.78
2015,5,21,0.0,36.07,27.63,69.3,6.07
2015,5,22,0.0,35.72,27.74,70.16,6.25
2015,5,23,0.0,35.65,28.41,70.27,7.22
2015,5,24,0.0,34.22,28.36,74.34,7.65
2015,5,25,0.0,35.12,27.81,71.77,7.36
2015,5,26,0.0,35.38,28.08,71.07,6.88
2015,5,27,0.0,34.97,28.3,72.21,6.73
2015,5,28,0.0,35.54,28.22,70.44,6.44
2015,5,29,0.0,35.44,28.18,69.28,4.8
2015,5,30,0.0,36.18,27.58,68.75,5.25
2015,5,31,0.0,36.38,27.67,67.8,5.26
2015,6,1,0.0,36.74,27.39,68.71,6.68
2015,6,2,0.1,35.33,28.42,67.02,7.11
2015,6,3,4.98,34.79,28.18,64.86,4.45
2015,6,4,4.32,36.14,27.5,63.61,2.31
2015,6,5,0.07,36.26,27.75,64.44,3.65
2015,6,6,0.0,36.69,27.76,63.86,4.31
2015,6,7,0.13,35.15,27.35,65.45,4.47
2015,6,8,0.82,37.27,28.75,60.49,3.73
2015,6,9,6.58,33.98,28.97,65.53,5.09
2015,6,10,14.07,34.21,28.27,70.22,4.67
2015,6,11,4.78,35.71,27.84,68.3,3.85
2015,6,12,0.09,34.87,28.97,70.69,4.96
2015,6,13,9.06,33.7,28.63,73.84,5.7
2015,6,14,5.6,33.51,28.3,74.93,6.19
2015,6,15,7.61,34.3,28.52,74.4,6.15
2015,6,16,9.31,33.99,27.99,74.2,3.64
2015,6,17,3.71,34.34,28.14,71.84,2.27
2015,6,18,5.54,32.82,28.72,74.93,1.74
2015,6,19,1.88,36.13,28.54,70.25,3.01
2015,6,20,0.77,35.02,28.4,72.85,3.67
2015,6,21,1.14,34.46,28.75,75.23,5.05
2015,6,22,0.99,34.71,28.37,75.39,5.95
2015,6,23,39.93,33.03,27.87,79.4,5.77
2015,6,24,70.57,30.42,27.85,84.76,6.94
2015,6,25,11.65,32.9,27.99,81.35,6.42
2015,6,26,0.0,33.38,27.6,78.98,5.99
2015,6,27,0.0,33.08,27.62,77.43,6.12
2015,6,28,0.0,33.34,27.47,76.63,5.07
2015,6,29,0.0,33.36,27.35,75.53,4.59
2015,6,30,0.0,32.96,27.35,75.2,5.29
2015,7,1,0.0,32.64,27.12,75.73,6.25
2015,7,2,0.0,32.69,27.07,75.21,5.85
2015,7,3,0.0,33.06,27.46,74.27,6.95
2015,7,4,0.0,32.8,27.87,73.95,8.25
2015,7,5,0.0,32.75,27.82,74.5,8.97
2015,7,6,0.0,32.86,27.65,74.87,8.98
2015,7,7,0.0,32.77,27.44,75.66,7.54
2015,7,8,0.0,33.06,27.06,75.78,6.17
2015,7,9,0.0,32.04,27.26,77.09,6.29
2015,7,10,0.0,32.55,27.35,75.2,6.92
2015,7,11,0.0,33.57,27.3,74.2,5.23
2015,7,12,0.0,33.67,27.14,74.79,4.54
2015,7,13,0.0,33.52,27.27,74.26,4.6
2015,7,14,0.0,33.32,27.16,73.49,5.06
2015,7,15,0.0,33.7,27.31,73.05,6.2
2015,7,16,0.0,33.62,27.42,72.83,6.65
2015,7,17,0.0,33.59,27.42,72.85,6.19
2015,7,18,0.0,33.48,27.57,73.44,5.83
2015,7,19,0.05,32.77,27.44,75.11,5.98
2015,7,20,0.32,31.81,27.27,76.02,5.19
2015,7,21,7.96,32.35,27.15,79.44,3.8
2015,7,22,19.29,29.65,27.15,85.75,4.0
2015,7,23,33.31,29.9,26.99,88.14,3.07
2015,7,24,3.33,29.78,27.03,88.51,4.27
2015,7,25,7.02,29.6,26.57,85.58,5.32
2015,7,26,31.47,29.74,26.26,86.95,6.14
2015,7,27,82.0,27.49,26.41,90.89,7.86
2015,7,28,150.1,27.36,26.22,89.78,9.7
2015,7,29,5.43,29.6,26.1,84.22,8.41
2015,7,30,0.22,30.0,25.91,83.14,7.52
2015,7,31,0.13,29.96,25.93,83.18,7.49
2015,8,1,0.0,30.22,25.94,82.13,7.24
2015,8,2,0.2,30.37,25.98,82.23,6.3
2015,8,3,0.09,30.76,25.84,82.28,5.19
2015,8,4,0.0,30.33,25.97,82.06,5.42
2015,8,5,0.0,30.28,26.04,82.33,6.08
2015,8,6,0.0,30.64,25.78,81.47,5.36
2015,8,7,0.0,31.29,26.09,82.99,4.36
2015,8,8,0.0,30.91,25.91,82.7,3.83
2015,8,9,0.02,30.29,25.88,82.51,3.34
2015,8,10,0.02,31.62,25.42,81.68,2.99
2015,8,11,0.0,31.68,25.57,80.58,2.7
2015,8,12,0.02,30.82,25.79,83.1,2.54
2015,8,13,0.19,30.3,25.88,83.09,3.02
2015,8,14,1.66,31.58,26.16,81.77,2.72
2015,8,15,0.15,31.62,26.41,82.18,4.11
2015,8,16,0.04,31.19,26.49,82.26,4.22
2015,8,17,0.73,31.6,26.3,83.1,4.2
2015,8,18,0.79,31.7,26.36,82.05,4.09
2015,8,19,0.09,31.03,26.06,82.02,4.78
2015,8,20,0.45,31.55,26.24,80.95,5.73
2015,8,21,0.45,31.52,25.97,78.8,6.01
2015,8,22,0.04,31.55,26.45,78.71,6.02
2015,8,23,0.09,31.19,26.17,80.32,6.03
2015,8,24,0.05,31.15,26.18,80.58,5.47
2015,8,25,0.0,31.38,25.78,79.23,4.8
2015,8,26,0.0,31.71,25.89,79.27,4.71
2015,8,27,0.0,32.11,25.86,77.98,4.14
2015,8,28,0.0,32.42,25.89,77.91,3.6
2015,8,29,0.0,32.31,25.67,77.16,3.46
2015,8,30,0.01,32.38,25.8,77.31,3.86
2015,8,31,0.01,31.52,25.5,77.81,4.34
2015,9,1,0.22,31.64,24.91,75.32,4.0
2015,9,2,0.09,31.58,24.62,73.17,3.74
2015,9,3,0.27,32.54,24.28,69.22,2.88
2015,9,4,0.52,32.55,25.5,68.19,2.08
2015,9,5,0.0,32.49,24.95,70.95,2.79
2015,9,6,0.0,31.32,24.44,76.12,3.56
2015,9,7,0.0,31.75,25.39,76.57,3.84
2015,9,8,0.0,32.58,25.19,72.2,3.42
2015,9,9,0.09,33.02,25.63,73.87,3.16
2015,9,10,0.01,33.32,25.51,71.84,2.9
2015,9,11,0.0,33.3,26.31,73.39,2.2
2015,9,12,3.83,33.71,26.82,75.5,2.74
2015,9,13,1.76,31.55,26.97,79.64,3.41
2015,9,14,0.0,32.33,26.75,78.11,4.3
2015,9,15,0.0,32.66,26.04,74.84,4.1
2015,9,16,0.0,32.97,25.7,72.74,3.54
2015,9,17,0.0,33.84,25.58,72.71,3.2
2015,9,18,2.59,35.14,26.14,74.24,4.05
2015,9,19,18.98,34.27,27.14,76.56,2.96
2015,9,20,34.24,30.53,27.12,88.51,3.73
2015,9,21,8.48,32.08,26.72,82.3,3.25
2015,9,22,0.53,32.78,25.64,80.32,4.1
2015,9,23,0.0,31.84,24.78,78.96,3.88
2015,9,24,0.0,31.14,23.81,76.37,3.42
2015,9,25,0.0,31.23,23.54,76.59,4.04
2015,9,26,0.0,31.93,24.72,74.0,3.91
2015,9,27,0.0,31.67,24.59,72.1,2.97
2015,9,28,0.0,33.38,23.81,68.28,1.88
2015,9,29,0.0,34.68,23.6,64.45,1.97
2015,9,30,0.0,35.71,24.45,60.39,2.88
2015,10,1,0.0,36.2,24.89,58.8,2.56
2015,10,2,0.0,35.94,24.94,56.5,1.29
2015,10,3,0.0,35.49,25.85,66.14,2.03
2015,10,4,0.0,34.81,25.29,70.11,2.68
2015,10,5,0.0,34.74,25.56,64.94,1.71
2015,10,6,0.0,36.53,24.57,61.42,1.89
2015,10,7,0.0,36.76,24.59,60.49,1.84
2015,10,8,0.0,36.6,24.54,57.89,2.51
2015,10,9,0.0,36.0,24.69,64.22,2.9
2015,10,10,0.0,35.07,24.45,70.21,3.06
2015,10,11,0.0,35.11,24.54,71.42,2.63
2015,10,12,0.0,35.06,26.1,66.73,1.12
2015,10,13,0.0,35.84,26.78,65.55,1.18
2015,10,14,0.0,36.03,27.29,64.37,1.96
2015,10,15,0.0,35.93,26.58,61.8,2.04
2015,10,16,0.0,36.48,26.01,57.21,1.97
2015,10,17,0.0,36.52,25.62,53.29,2.1
2015,10,18,0.0,36.97,27.09,56.23,1.71
2015,10,19,0.0,36.31,26.31,60.73,2.43
2015,10,20,0.0,34.94,25.95,63.53,2.4
2015,10,21,0.0,34.64,25.74,60.26,1.91
2015,10,22,0.0,35.67,26.36,57.95,2.35
2015,10,23,0.0,36.03,23.59,48.67,1.99
2015,10,24,0.0,35.15,24.37,56.66,2.31
2015,10,25,0.0,34.77,25.52,58.67,2.75
2015,10,26,0.0,34.73,24.01,52.36,1.6
2015,10,27,0.0,34.83,22.97,48.4,3.81
2015,10,28,0.0,34.31,22.46,41.96,4.62
2015,10,29,0.0,31.83,19.99,42.77,4.43
2015,10,30,0.0,32.65,20.11,48.5,4.39
2015,10,31,0.0,33.53,21.0,46.72,4.25
2015,11,1,0.0,33.67,21.2,48.49,3.73
2015,11,2,0.0,33.66,22.2,52.81,2.23
2015,11,3,0.0,33.82,23.43,50.22,2.27
2015,11,4,0.0,33.71,23.59,52.65,1.9
2015,11,5,0.0,33.47,23.24,64.91,2.43
2015,11,6,0.0,34.07,22.93,61.32,2.22
2015,11,7,0.0,33.3,20.72,42.25,2.72
2015,11,8,0.0,32.82,20.33,41.45,2.99
2015,11,9,0.0,32.4,20.55,45.56,2.85
2015,11,10,0.0,33.01,21.04,47.84,3.14
2015,11,11,0.0,33.73,20.91,47.32,2.58
2015,11,12,0.0,34.36,21.53,46.38,2.39
2015,11,13,0.0,34.04,22.73,44.96,2.2
2015,11,14,0.0,33.61,21.28,53.61,2.21
2015,11,15,0.0,32.78,21.82,67.06,2.8
2015,11,16,0.0,32.51,21.33,55.58,3.23
2015,11,17,0.0,32.28,20.12,43.56,3.59
2015,11,18,0.0,32.91,18.85,40.29,3.43
2015,11,19,0.0,33.15,19.52,42.78,2.89
2015,11,20,0.0,32.73,19.47,41.54,3.11
2015,11,21,0.0,32.98,19.23,40.49,2.93
2015,11,22,0.0,33.05,22.9,45.87,2.19
2015,11,23,0.0,32.28,23.48,56.5,2.26
2015,11,24,0.0,32.24,22.01,46.93,3.49
2015,11,25,0.0,31.06,23.87,50.21,3.26
2015,11,26,0.0,29.24,22.83,40.83,3.43
2015,11,27,0.0,29.39,18.93,33.57,3.9
2015,11,28,0.0,28.1,17.41,36.74,3.69
2015,11,29,0.0,30.23,16.19,39.75,3.73
2015,11,30,0.0,30.96,17.32,46.2,3.01
2015,12,1,0.0,30.27,18.28,46.97,3.03
2015,12,2,0.0,30.72,17.72,43.31,3.02
2015,12,3,0.0,31.06,17.2,39.48,3.3
2015,12,4,0.0,31.39,16.86,40.09,2.22
2015,12,5,0.0,31.59,18.14,38.33,1.82
2015,12,6,0.0,31.56,17.41,37.74,2.44
2015,12,7,0.0,31.48,18.2,37.76,2.43
2015,12,8,0.0,30.92,17.64,39.63,2.42
2015,12,9,0.0,29.76,19.46,50.62,2.24
2015,12,10,0.0,28.9,19.72,64.36,3.45
2015,12,11,0.0,26.91,15.97,35.7,2.76
2015,12,12,0.0,27.19,13.55,36.14,2.85
2015,12,13,0.0,27.42,13.04,37.42,3.65
2015,12,14,0.0,27.28,13.24,39.22,4.08
2015,12,15,0.0,28.31,12.48,37.36,3.34
2015,12,16,0.0,28.07,13.25,40.04,2.75
2015,12,17,0.0,27.3,16.81,61.15,3.47
2015,12,18,0.0,27.4,13.54,36.8,4.08
2015,12,19,0.0,27.96,12.83,38.36,2.98
2015,12,20,0.0,26.66,14.4,37.69,2.94
2015,12,21,0.0,27.09,12.05,39.01,3.14
2015,12,22,0.0,26.37,12.84,38.84,2.43
2015,12,23,0.0,26.06,14.31,40.84,3.24
2015,12,24,0.0,25.06,12.78,43.08,4.39
2015,12,25,0.0,27.27,11.25,39.07,3.76
2015,12,26,0.0,27.57,14.63,33.84,3.36
2015,12,27,0.0,29.86,15.01,31.35,3.07
2015,12,28,0.0,31.66,16.8,29.77,3.04
2015,12,29,0.0,32.44,17.33,30.63,2.61
2015,12,30,0.0,31.33,17.46,33.58,2.36
2015,12,31,0.0,30.8,17.12,40.23,2.93
2016,1,1,0.0,30.84,16.9,40.24,3.19
2016,1,2,0.0,29.81,17.15,36.55,2.6
2016,1,3,0.0,29.82,16.97,37.53,2.31
2016,1,4,0.0,30.72,16.82,43.65,2.17
2016,1,5,0.0,29.44,16.93,67.45,2.32
2016,1,6,0.0,29.82,17.64,60.36,2.57
2016,1,7,0.0,29.54,16.95,53.46,2.41
2016,1,8,0.0,27.96,17.07,49.1,2.82
2016,1,9,0.0,27.74,15.72,49.04,2.51
2016,1,10,0.0,27.51,15.87,67.72,2.29
2016,1,11,0.0,27.1,16.31,69.84,2.32
2016,1,12,0.0,26.38,16.92,76.1,2.35
2016,1,13,0.0,28.04,17.48,64.87,1.84
2016,1,14,0.0,27.43,16.59,52.93,1.69
2016,1,15,0.0,26.97,15.41,41.95,3.12
2016,1,16,0.0,26.61,14.03,44.53,3.04
2016,1,17,0.0,26.33,14.4,51.1,2.55
2016,1,18,0.0,26.85,15.28,60.73,2.43
2016,1,19,0.0,26.62,14.41,41.95,3.19
2016,1,20,0.0,26.2,13.05,38.65,3.49
2016,1,21,0.0,26.48,12.34,33.71,2.67
2016,1,22,0.0,26.86,13.35,34.05,2.07
2016,1,23,0.0,27.72,12.67,36.94,2.75
2016,1,24,0.0,27.95,13.39,37.03,2.54
2016,1,25,0.0,27.66,13.64,39.84,2.34
2016,1,26,0.0,26.79,15.27,69.96,2.99
2016,1,27,0.0,28.04,17.38,74.88,2.46
2016,1,28,0.0,30.84,17.69,55.66,2.27
2016,1,29,0.0,29.41,17.71,72.62,2.92
2016,1,30,0.0,28.37,17.7,76.57,3.14
2016,1,31,0.0,28.3,17.87,72.95,2.74
2016,2,1,0.0,28.86,17.8,56.17,2.5
2016,2,2,0.0,28.11,15.6,41.4,2.84
2016,2,3,0.0,28.74,14.59,33.27,3.22
2016,2,4,0.0,29.49,14.34,34.19,2.62
2016,2,5,0.0,29.4,14.27,41.46,2.63
2016,2,6,0.0,27.09,17.01,66.55,3.46
2016,2,7,0.0,28.7,15.23,38.03,2.27
2016,2,8,0.0,29.5,14.25,33.19,2.67
2016,2,9,0.0,29.78,14.24,37.69,2.78
2016,2,10,0.0,27.7,15.42,67.89,3.52
2016,2,11,0.0,27.92,18.24,69.87,2.88
2016,2,12,0.0,26.31,16.71,65.96,3.32
2016,2,13,0.0,27.18,17.17,63.02,2.51
2016,2,14,0.0,27.51,14.42,37.52,3.33
2016,2,15,0.0,27.38,14.07,36.52,3.65
2016,2,16,0.0,28.58,14.46,37.79,4.26
2016,2,17,0.0,31.16,18.05,42.88,3.68
2016,2,18,0.0,32.34,19.66,49.1,3.09
2016,2,19,0.0,28.51,20.82,71.89,2.85
2016,2,20,0.0,29.39,19.25,51.8,3.13
2016,2,21,0.0,30.26,18.66,43.42,2.24
2016,2,22,0.0,31.41,17.72,46.9,2.44
2016,2,23,0.0,32.85,16.46,46.3,2.93
2016,2,24,0.0,29.05,17.0,58.29,2.28
2016,2,25,0.0,32.56,18.05,54.91,2.13
2016,2,26,0.0,32.62,18.91,36.25,2.88
2016,2,27,0.0,34.31,18.48,26.99,3.57
2016,2,28,0.0,35.13,19.02,26.09,2.73
2016,2,29,0.0,35.11,19.17,26.81,2.58
2016,3,1,0.0,36.94,19.75,27.44,1.85
2016,3,2,0.0,33.88,21.46,37.04,1.76
2016,3,3,0.0,34.82,21.0,41.48,2.05
2016,3,4,0.0,33.78,21.34,49.51,2.94
2016,3,5,0.0,29.99,20.22,68.9,3.56
2016,3,6,0.0,31.06,19.85,65.47,2.68
2016,3,7,0.0,33.14,20.01,46.02,2.68
2016,3,8,0.0,32.51,20.66,42.2,2.57
2016,3,9,0.0,32.27,20.96,57.48,3.1
2016,3,10,0.0,33.8,20.84,60.88,2.99
2016,3,11,0.0,32.81,20.94,63.97,3.55
2016,3,12,0.0,29.74,20.88,70.71,3.71
2016,3,13,1.05,29.05,20.45,71.32,3.41
2016,3,14,0.3,31.28,19.92,63.63,2.4
2016,3,15,0.0,33.15,21.35,55.81,2.55
2016,3,16,0.0,34.28,20.82,51.85,3.11
2016,3,17,0.0,32.07,21.59,69.88,3.39
2016,3,18,0.0,33.07,22.46,68.12,3.53
2016,3,19,0.0,34.02,22.8,65.12,3.63
2016,3,20,0.0,33.54,22.51,63.72,3.87
2016,3,21,0.0,34.61,21.32,60.16,2.8
2016,3,22,0.0,36.1,20.93,50.47,2.8
2016,3,23,0.0,37.16,21.13,50.74,2.95
2016,3,24,0.0,38.56,21.77,51.96,2.68
2016,3,25,0.0,35.45,24.18,50.65,3.16
2016,3,26,0.0,34.93,23.46,49.48,3.26
2016,3,27,0.0,34.7,22.7,35.56,2.89
2016,3,28,0.0,36.89,21.45,41.95,2.97
2016,3,29,0.0,34.9,21.85,53.07,3.16
2016,3,30,0.0,34.31,22.14,57.05,3.31
2016,3,31,0.0,33.49,21.84,67.37,3.8
2016,4,1,0.0,32.34,23.39,73.61,4.0
2016,4,2,0.0,33.56,23.74,72.8,3.64
2016,4,3,0.0,32.42,23.95,73.41,4.22
2016,4,4,0.0,33.81,23.21,64.05,3.9
2016,4,5,0.0,33.16,22.07,61.71,4.05
2016,4,6,0.0,33.24,23.62,60.14,4.09
2016,4,7,0.0,33.02,23.3,58.32,3.78
2016,4,8,0.0,33.47,22.06,62.89,3.89
2016,4,9,0.0,33.93,23.46,64.69,3.76
2016,4,10,0.0,33.53,24.53,61.23,3.68
2016,4,11,0.0,34.2,24.68,61.21,3.83
2016,4,12,0.0,34.51,23.52,61.3,3.82
2016,4,13,0.0,35.47,23.5,62.13,3.82
2016,4,14,0.0,34.98,23.49,63.01,4.09
2016,4,15,0.0,34.61,23.71,65.97,4.06
2016,4,16,0.0,34.67,23.99,65.67,5.02
2016,4,17,0.0,33.71,26.02,64.21,5.03
2016,4,18,0.0,34.44,24.52,63.5,3.97
2016,4,19,0.0,33.83,24.64,60.91,4.15
2016,4,20,0.0,34.83,23.52,56.42,3.65
2016,4,21,0.0,34.75,23.58,58.76,4.81
2016,4,22,0.0,33.96,24.43,62.66,5.39
2016,4,23,0.0,35.15,24.72,61.2,4.5
2016,4,24,0.0,35.17,23.99,61.49,3.73
2016,4,25,0.0,34.8,24.46,60.22,3.4
2016,4,26,0.0,35.09,25.06,57.52,3.62
2016,4,27,0.0,35.52,24.92,56.7,3.38
2016,4,28,0.0,37.79,25.11,54.43,3.07
2016,4,29,0.0,38.09,26.55,54.85,3.64
2016,4,30,0.0,37.09,25.05,63.68,4.09
2016,5,1,0.0,35.84,25.29,67.89,4.55
2016,5,2,0.0,35.92,26.45,66.04,4.88
2016,5,3,0.0,35.79,25.36,65.96,4.46
2016,5,4,0.0,34.47,25.88,64.15,3.91
2016,5,5,0.22,35.01,25.12,62.29,3.82
2016,5,6,0.98,35.98,25.23,63.98,3.93
2016,5,7,0.54,35.64,25.91,62.49,3.99
2016,5,8,0.0,35.76,25.7,65.64,4.28
2016,5,9,0.0,36.63,26.08,66.54,4.47
2016,5,10,0.0,37.43,26.31,65.42,4.42
2016,5,11,0.0,36.91,26.5,68.25,4.53
2016,5,12,0.0,36.6,26.53,66.89,4.74
2016,5,13,0.0,37.09,26.86,64.49,5.08
2016,5,14,0.0,36.75,26.87,64.25,5.18
2016,5,15,0.0,36.72,26.86,66.9,5.15
2016,5,16,0.0,36.79,27.39,68.41,4.82
2016,5,17,0.0,37.44,27.21,67.78,4.58
2016,5,18,0.0,38.81,27.11,64.79,4.67
